feature,coefficient,direction
reuters,21.7182,REAL
said,12.2546,REAL
washington reuters,9.1048,REAL
president donald,5.5531,REAL
wednesday,5.1575,REAL
washington,5.1077,REAL
tuesday,4.7257,REAL
thursday,4.2682,REAL
reuters president,4.1798,REAL
monday,4.0011,REAL
nov,3.9886,REAL
friday,3.9684,REAL
trumps,3.8703,REAL
said statement,3.7773,REAL
title,3.55,REAL
minister,3.4434,REAL
told reuters,3.3859,REAL
comment,3.047,REAL
spokesman,3.0021,REAL
president barack,2.9712,REAL
republican,2.9607,REAL
democratic,2.8156,REAL
reporters,2.7248,REAL
york reuters,2.6719,REAL
election,2.6022,REAL
percent,2.6002,REAL
told reporters,2.549,REAL
government,2.5367,REAL
said thursday,2.4461,REAL
capital,2.4455,REAL
video,-9.7472,FAKE
image,-8.74,FAKE
just,-5.6795,FAKE
images,-5.4174,FAKE
gop,-5.3191,FAKE
president trump,-4.5754,FAKE
america,-4.4704,FAKE
obama,-4.3716,FAKE
didn,-3.9881,FAKE
doesn,-3.8781,FAKE
president obama,-3.7954,FAKE
watch,-3.7162,FAKE
isn,-3.6104,FAKE
like,-3.6028,FAKE
breaking,-3.5702,FAKE
mr,-3.2795,FAKE
isis,-3.2795,FAKE
century wire,-3.2629,FAKE
hillary,-3.2255,FAKE
fact,-3.0397,FAKE
don,-2.9468,FAKE
sen,-2.9439,FAKE
rep,-2.8915,FAKE
went,-2.8203,FAKE
breitbart,-2.6661,FAKE
news,-2.6652,FAKE
wasn,-2.6356,FAKE
ll,-2.6333,FAKE
ve,-2.6293,FAKE
american,-2.5687,FAKE
